The following synthetic operations ledger is a project-authored retrieval and summarization fixture. Every record is authoritative for this prompt. Read the complete ledger before answering; do not use outside facts.

Record 00001: station Birch; shipment code LONGCTX-00001-07919; marker green; quantity 170; observed delay 13 minutes; validation state accepted.
Record 00002: station Cedar; shipment code LONGCTX-00002-15838; marker violet; quantity 267; observed delay 26 minutes; validation state accepted.
Record 00003: station Dogwood; shipment code LONGCTX-00003-23757; marker blue; quantity 364; observed delay 39 minutes; validation state accepted.
Record 00004: station Elm; shipment code LONGCTX-00004-31676; marker indigo; quantity 461; observed delay 5 minutes; validation state accepted.
Record 00005: station Fir; shipment code LONGCTX-00005-39595; marker white; quantity 558; observed delay 18 minutes; validation state accepted.
Record 00006: station Grove; shipment code LONGCTX-00006-47514; marker copper; quantity 655; observed delay 31 minutes; validation state accepted.
Record 00007: station Hazel; shipment code LONGCTX-00007-55433; marker silver; quantity 752; observed delay 44 minutes; validation state accepted.
Record 00008: station Alder; shipment code LONGCTX-00008-63352; marker amber; quantity 849; observed delay 10 minutes; validation state accepted.
Record 00009: station Birch; shipment code LONGCTX-00009-71271; marker green; quantity 946; observed delay 23 minutes; validation state accepted.
Record 00010: station Cedar; shipment code LONGCTX-00010-79190; marker violet; quantity 142; observed delay 36 minutes; validation state accepted.
Record 00011: station Dogwood; shipment code LONGCTX-00011-87109; marker blue; quantity 239; observed delay 2 minutes; validation state accepted.
Record 00012: station Elm; shipment code LONGCTX-00012-95028; marker indigo; quantity 336; observed delay 15 minutes; validation state accepted.
Record 00013: station Fir; shipment code LONGCTX-00013-02947; marker white; quantity 433; observed delay 28 minutes; validation state accepted.
Record 00014: station Grove; shipment code LONGCTX-00014-10866; marker copper; quantity 530; observed delay 41 minutes; validation state accepted.
Record 00015: station Hazel; shipment code LONGCTX-00015-18785; marker silver; quantity 627; observed delay 7 minutes; validation state accepted.
Record 00016: station Alder; shipment code LONGCTX-00016-26704; marker amber; quantity 724; observed delay 20 minutes; validation state accepted.
Record 00017: station Birch; shipment code LONGCTX-00017-34623; marker green; quantity 821; observed delay 33 minutes; validation state accepted.
Record 00018: station Cedar; shipment code LONGCTX-00018-42542; marker violet; quantity 918; observed delay 46 minutes; validation state accepted.
Record 00019: station Dogwood; shipment code LONGCTX-00019-50461; marker blue; quantity 114; observed delay 12 minutes; validation state accepted.
Record 00020: station Elm; shipment code LONGCTX-00020-58380; marker indigo; quantity 211; observed delay 25 minutes; validation state accepted.
Record 00021: station Fir; shipment code LONGCTX-00021-66299; marker white; quantity 308; observed delay 38 minutes; validation state accepted.
Record 00022: station Grove; shipment code LONGCTX-00022-74218; marker copper; quantity 405; observed delay 4 minutes; validation state accepted.
Record 00023: station Hazel; shipment code LONGCTX-00023-82137; marker silver; quantity 502; observed delay 17 minutes; validation state accepted.
Record 00024: station Alder; shipment code LONGCTX-00024-90056; marker amber; quantity 599; observed delay 30 minutes; validation state accepted.
Record 00025: station Birch; shipment code LONGCTX-00025-97975; marker green; quantity 696; observed delay 43 minutes; validation state accepted.
Record 00026: station Cedar; shipment code LONGCTX-00026-05894; marker violet; quantity 793; observed delay 9 minutes; validation state accepted.
Record 00027: station Dogwood; shipment code LONGCTX-00027-13813; marker blue; quantity 890; observed delay 22 minutes; validation state accepted.
